ID,Subject,Topic,Difficulty,Question,Choice A,Choice B,Choice C,Choice D,Answer,Solution
GEAS-048,GEAS,ECE Laws,Difficult,"Under RA 9292, what is the required passing rate for the ECE board exam?",70%,75%,80%,65%,70%,"Under RA 9292 implementing rules, an examinee must obtain a general average of at least 70% and no grade below 50% in any subject to pass the ECE board exam."
GEAS-049,GEAS,Engineering Management,Moderate,"In engineering economics, 'sunk cost' refers to:",A cost already incurred and irrecoverable,A future cost,A variable cost,A fixed overhead cost,A cost already incurred and irrecoverable,A sunk cost is money already spent and unrecoverable. Rational economic decision-making dictates that sunk costs should be ignored when evaluating future options.
GEAS-050,GEAS,Engineering Economics,Moderate,The net present value (NPV) method accepts a project if NPV is:,Positive,Negative,Equal to zero,Less than the discount rate,Positive,"NPV = PV of cash inflows − Initial investment. If NPV > 0, the investment returns more than the required rate, and the project is accepted."
ELEX-001,Electronics Eng.,AC Circuits,Moderate,A resistor has 12 V across it and 3 A flowing through it. What is its resistance?,4 Ω,36 Ω,0.25 Ω,9 Ω,4 Ω,Ohm's Law: R = V/I = 12 V / 3 A = 4 Ω.
ELEX-002,Electronics Eng.,Electronic Devices,Difficult,"In a series RLC circuit at resonance, the impedance is equal to:",R (pure resistance),Zero,XL + XC,Infinite,R (pure resistance),"At resonance in a series RLC circuit, XL = XC, so they cancel: Z = √(R² + (XL−XC)²) = √(R² + 0) = R. The circuit is purely resistive."
ELEX-003,Electronics Eng.,Logic Circuits,Difficult,What is the Boolean expression for a NAND gate with inputs A and B?,(AB)′,A′B′,A + B,(A + B)′,(AB)′,"A NAND gate is the complement of AND. For inputs A and B, AND output = AB. NAND output = (AB)′ (NOT of AND)."
ELEX-004,Electronics Eng.,Feedback Systems,Difficult,A common-emitter amplifier provides a phase shift of:,180°,0°,90°,270°,180°,"In a common-emitter (CE) BJT amplifier, the output is taken at the collector. The CE configuration inverts the signal, producing a 180° phase shift."
ELEX-005,Electronics Eng.,DC Circuits,Easy,An ideal op-amp has an input impedance of:,Infinity,Zero,100 ohms,1 M ohm,Infinity,"An ideal op-amp has infinite input impedance (draws no current), infinite open-loop gain, zero output impedance, and infinite bandwidth."
ELEX-006,Electronics Eng.,AC Circuits,Difficult,Which semiconductor material is most widely used?,Silicon,Germanium,Gallium Arsenide,Carbon,Silicon,"Silicon (Si) is the most widely used semiconductor because it is abundant, has a suitable bandgap (~1.1 eV), and forms stable oxide layers (SiO₂) for fabrication."
ELEX-007,Electronics Eng.,Electronic Devices,Difficult,Calculate the equivalent resistance of two 10-ohm resistors in parallel.,5 Ω,20 Ω,10 Ω,0.1 Ω,5 Ω,Parallel resistance: 1/Req = 1/R₁ + 1/R₂ = 1/10 + 1/10 = 2/10 → Req = 10/2 = 5 Ω.
ELEX-008,Electronics Eng.,Logic Circuits,Moderate,What is the primary function of a rectifier?,AC to DC,DC to AC,DC to DC,AC to AC,AC to DC,A rectifier converts alternating current (AC) to direct current (DC) by allowing current to flow in only one direction. Used in power supply circuits.
ELEX-009,Electronics Eng.,Feedback Systems,Easy,The Barkhausen criterion is associated with:,Oscillators,Amplifiers,Filters,Regulators,Oscillators,"The Barkhausen criterion states that for sustained oscillations, the loop gain must equal 1 and the total phase shift around the loop must be 0° or 360°."
ELEX-010,Electronics Eng.,DC Circuits,Difficult,Which logic gate outputs 1 only when both inputs are 1?,AND,OR,XOR,NAND,AND,"An AND gate outputs 1 only when ALL inputs are 1. Truth table: 0·0=0, 0·1=0, 1·0=0, 1·1=1."
ELEX-011,Electronics Eng.,AC Circuits,Moderate,"In a purely inductive AC circuit, the current:",Lags the voltage by 90°,Leads the voltage by 90°,Is in phase with voltage,Lags by 45°,Lags the voltage by 90°,"In a pure inductor, voltage leads current by 90° (or current lags voltage by 90°). The inductor resists changes in current: V = L·di/dt."
ELEX-012,Electronics Eng.,Electronic Devices,Difficult,A bipolar junction transistor (BJT) in saturation mode has:,Both junctions forward-biased,Both junctions reverse-biased,"Emitter forward, collector reverse","Emitter reverse, collector forward",Both junctions forward-biased,"BJT operating regions: Active = EB forward, CB reverse. Saturation = both junctions forward-biased. Cutoff = both reverse-biased."
ELEX-013,Electronics Eng.,Logic Circuits,Moderate,Which logic gate outputs 1 only when all inputs are 1?,AND,OR,NAND,NOR,AND,An AND gate outputs HIGH only when all inputs are HIGH. For a 2-input AND: output = A·B. Output is 1 only when A=1 AND B=1.
ELEX-014,Electronics Eng.,Feedback Systems,Difficult,Negative feedback in an amplifier primarily:,Reduces gain but improves stability and bandwidth,Increases gain and distortion,Increases noise,Reduces bandwidth,Reduces gain but improves stability and bandwidth,"Negative feedback reduces gain by factor (1+Aβ) but improves bandwidth, linearity, stability, and reduces distortion. Classic gain-bandwidth tradeoff."
ELEX-015,Electronics Eng.,DC Circuits,Easy,"Three resistors of 6 Ω, 3 Ω, and 2 Ω are connected in parallel. What is the equivalent resistance?",1 Ω,11 Ω,5.5 Ω,2 Ω,1 Ω,Parallel: 1/Req = 1/6 + 1/3 + 1/2 = 1/6 + 2/6 + 3/6 = 6/6 = 1. Therefore Req = 1 Ω.
ELEX-016,Electronics Eng.,AC Circuits,Easy,The impedance of a 10Ω resistor in series with a 10Ω inductive reactance is:,14.14 Ω,20 Ω,10 Ω,100 Ω,14.14 Ω,Series impedance: Z = √(R² + XL²) = √(10² + 10²) = √(100 + 100) = √200 = 14.14 Ω.
ELEX-017,Electronics Eng.,Electronic Devices,Difficult,The threshold voltage of a MOSFET is the gate voltage at which:,The channel begins to form,The device breaks down,Drain current is maximum,The device turns off,The channel begins to form,The MOSFET threshold voltage (Vth) is the minimum gate-to-source voltage (VGS) required to create an inversion layer (conducting channel) between source and drain.
ELEX-018,Electronics Eng.,Logic Circuits,Moderate,Simplify the Boolean expression: A + A·B.,A,A·B,A + B,B,A,Absorption Law: A + A·B = A·(1 + B) = A·1 = A. This is a Boolean algebra identity — A absorbs A·B.
ELEX-019,Electronics Eng.,Feedback Systems,Moderate,"The gain of a feedback amplifier is given by Af = A/(1 + Aβ). If A = 100 and β = 0.01, Af is:",≈50,≈100,≈10,≈90.9,≈50,Af = A/(1 + Aβ) = 100/(1 + 100 × 0.01) = 100/(1 + 1) = 100/2 = 50.
ELEX-020,Electronics Eng.,DC Circuits,Easy,"Using Ohm's Law, what is the current through a 20 Ω resistor with 100 V across it?",5 A,2 A,0.2 A,10 A,5 A,Ohm's Law: I = V/R = 100 V / 20 Ω = 5 A.
ELEX-021,Electronics Eng.,AC Circuits,Easy,What is the resonant frequency of an LC circuit with L = 1 mH and C = 1 μF?,≈5.03 kHz,≈1 kHz,≈10 kHz,≈2.5 kHz,≈5.03 kHz,"fr = 1/(2π√LC) = 1/(2π√(10⁻³ × 10⁻⁶)) = 1/(2π × 10⁻⁴·⁵) ≈ 1/(2π × 3.162 × 10⁻⁵) ≈ 5,033 Hz ≈ 5.03 kHz."
ELEX-022,Electronics Eng.,Electronic Devices,Easy,The forward voltage drop of a silicon diode is approximately:,0.7 V,0.3 V,1.2 V,0 V,0.7 V,A silicon p-n junction diode has a built-in potential barrier of approximately 0.6–0.7 V. Forward biasing must overcome this barrier for conduction. Germanium ≈ 0.3 V.
ELEX-023,Electronics Eng.,Logic Circuits,Easy,What is the binary representation of decimal 13?,1101,1011,1110,1001,1101,"Convert 13 to binary: 13 ÷ 2 = 6 R1, 6 ÷ 2 = 3 R0, 3 ÷ 2 = 1 R1, 1 ÷ 2 = 0 R1. Reading remainders from bottom: 1101."
ELEX-024,Electronics Eng.,Feedback Systems,Moderate,"In a closed-loop control system, what is the purpose of the error signal?",To drive the controller to minimize the difference between desired and actual output,To increase system gain,To generate the reference input,To stop the system,To drive the controller to minimize the difference between desired and actual output,The error signal = reference input − feedback signal. It represents the deviation from desired output and is used to drive the controller to correct the system.
ELEX-025,Electronics Eng.,DC Circuits,Moderate,Kirchhoff's Current Law (KCL) states that:,The sum of currents entering a node equals the sum leaving,Voltage drops around a loop sum to zero,Current is the same in series circuits,All of the above,The sum of currents entering a node equals the sum leaving,"KCL (Kirchhoff's Current Law): At any node, the algebraic sum of currents = 0. Equivalently, sum of currents in = sum of currents out. Based on conservation of charge."
ELEX-026,Electronics Eng.,AC Circuits,Difficult,"In an AC circuit, apparent power is measured in:",VA (volt-amperes),Watts,VAR,Ohms,VA (volt-amperes),Apparent power S = V × I (in VA). It represents total power delivered to a circuit. Real power P (W) = S·cos(θ); Reactive power Q (VAR) = S·sin(θ).
ELEX-027,Electronics Eng.,Electronic Devices,Moderate,An NPN transistor operates in active mode when:,VBE > 0 and VCE > VCE(sat),VBE < 0 and VCE < 0,VBE = 0,VBC > 0,VBE > 0 and VCE > VCE(sat),For NPN BJT in active mode: the base-emitter junction is forward biased (VBE > 0.7V) and the base-collector junction is reverse biased (VCE > VCE(sat)).
ELEX-028,Electronics Eng.,Logic Circuits,Moderate,A half adder has how many outputs?,2 (Sum and Carry),1 (Sum only),3,4,2 (Sum and Carry),A half adder adds two single bits and produces two outputs: Sum (S = A XOR B) and Carry-out (C = A AND B). It cannot handle carry-in.
ELEX-029,Electronics Eng.,Feedback Systems,Moderate,A system is stable if the poles of its transfer function are:,In the left-half of the s-plane,In the right-half of the s-plane,On the imaginary axis,At the origin,In the left-half of the s-plane,"In the s-domain, left-half plane (LHP) poles have negative real parts, producing decaying exponentials → stable. Right-half plane (RHP) poles → growing → unstable."
ELEX-030,Electronics Eng.,DC Circuits,Easy,A 12 V battery with internal resistance 1 Ω drives 2 A. What is the terminal voltage?,10 V,12 V,14 V,11 V,10 V,Terminal voltage: V = EMF − I·r = 12 − (2)(1) = 10 V.
ELEX-031,Electronics Eng.,AC Circuits,Easy,What is the power factor of a purely resistive load?,1,0,0.5,0.707,1,"Power factor = cos(θ) where θ is the phase angle between voltage and current. In a purely resistive circuit, θ = 0°, so PF = cos(0°) = 1."
ELEX-032,Electronics Eng.,Electronic Devices,Moderate,What is the main function of a Zener diode?,Voltage regulation,Rectification,Signal amplification,Frequency generation,Voltage regulation,"A Zener diode operates in reverse breakdown at a specified Zener voltage (Vz). It maintains a nearly constant voltage across it, ideal for voltage regulation."
ELEX-033,Electronics Eng.,Logic Circuits,Moderate,Which flip-flop changes state on every clock pulse?,T flip-flop,D flip-flop,SR flip-flop,JK flip-flop,T flip-flop,A Toggle (T) flip-flop changes (toggles) its output state on every rising (or falling) clock edge when T = 1. It divides the clock frequency by 2.
ELEX-034,Electronics Eng.,Feedback Systems,Moderate,What does the Bode plot show?,Gain and phase vs. frequency,Impedance vs. time,Voltage vs. current,Power vs. frequency,Gain and phase vs. frequency,"A Bode plot consists of two graphs: gain (magnitude in dB) vs. log frequency, and phase (degrees) vs. log frequency. Used in frequency-response analysis of systems."
ELEX-035,Electronics Eng.,DC Circuits,Moderate,The power dissipated by a 5 Ω resistor carrying 3 A is:,45 W,15 W,9 W,25 W,45 W,Power: P = I²R = (3)² × 5 = 9 × 5 = 45 W. (Alternatively P = V²/R = (IR)²/R = I²R.)
ELEX-036,Electronics Eng.,AC Circuits,Easy,"A series RLC circuit has R = 10 Ω, XL = 20 Ω, XC = 20 Ω. What is the impedance?",10 Ω,30 Ω,40 Ω,20 Ω,10 Ω,"At resonance (if XL = XC), they cancel: Z = √(R² + (XL−XC)²) = √(10² + (20−20)²) = √(100) = 10 Ω. The circuit is purely resistive."
ELEX-037,Electronics Eng.,Electronic Devices,Difficult,"In a common-emitter amplifier, what is the phase relationship between input and output?",180° phase shift,0° phase shift,90° phase shift,270° phase shift,180° phase shift,"In a Common-Emitter amplifier, the output (collector) voltage is 180° out of phase with the input (base) voltage. When base goes up, collector goes down."
ELEX-038,Electronics Eng.,Logic Circuits,Difficult,What is the output of XOR gate when inputs are A = 1 and B = 1?,0,1,Undefined,High impedance,0,"XOR truth table: 0 XOR 0 = 0, 0 XOR 1 = 1, 1 XOR 0 = 1, 1 XOR 1 = 0. When both inputs are equal, XOR outputs 0."
ELEX-039,Electronics Eng.,Feedback Systems,Difficult,The Nyquist stability criterion is used to:,Determine closed-loop stability from open-loop frequency response,Design low-pass filters,Measure transistor gain,Calculate resonant frequency,Determine closed-loop stability from open-loop frequency response,The Nyquist criterion examines the open-loop frequency response (Nyquist plot) to determine if the closed-loop system is stable without computing closed-loop poles.
ELEX-040,Electronics Eng.,DC Circuits,Difficult,"In a series circuit with two resistors 4 Ω and 6 Ω connected to 20 V, what is the voltage across the 4 Ω resistor?",8 V,12 V,10 V,4 V,8 V,Voltage divider: V₄Ω = V × R₁/(R₁+R₂) = 20 × 4/(4+6) = 20 × 4/10 = 8 V.
ELEX-041,Electronics Eng.,AC Circuits,Moderate,Reactive power in an AC circuit is measured in:,VAR,Watt,VA,Joule,VAR,"Reactive power Q = V·I·sin(θ), measured in VAR (Volt-Ampere Reactive). It represents energy stored and released by inductors/capacitors per cycle — no net work done."
ELEX-042,Electronics Eng.,Electronic Devices,Moderate,Which semiconductor device is used to amplify and switch electronic signals using a gate terminal?,MOSFET,Diode,Zener diode,Resistor,MOSFET,A MOSFET (Metal-Oxide-Semiconductor Field-Effect Transistor) uses a gate voltage to control current flow between drain and source. Widely used for switching and amplification.
ELEX-043,Electronics Eng.,Logic Circuits,Difficult,How many states does a 4-bit binary counter have?,16,8,4,32,16,A 4-bit binary counter can count from 0000 to 1111 (0 to 15 in decimal). Total states = 2⁴ = 16.
ELEX-044,Electronics Eng.,Feedback Systems,Difficult,Which controller action eliminates steady-state error?,Integral (I) action,Proportional (P) action,Derivative (D) action,Bang-bang control,Integral (I) action,Integral (I) control accumulates error over time and eliminates steady-state error by continuously correcting until error = 0. P action alone leaves a residual error.
ELEX-045,Electronics Eng.,DC Circuits,Moderate,What is the total resistance of 10 Ω and 10 Ω resistors in series?,20 Ω,5 Ω,100 Ω,1 Ω,20 Ω,Series resistance: Req = R₁ + R₂ = 10 + 10 = 20 Ω.
ELEX-046,Electronics Eng.,AC Circuits,Easy,"In a capacitive AC circuit, the current:",Leads the voltage by 90°,Lags the voltage by 90°,Is in phase with voltage,Lags by 45°,Leads the voltage by 90°,"In a pure capacitor, current leads voltage by 90°. The capacitor resists changes in voltage: I = C·dv/dt. Current peaks before voltage."
ELEX-047,Electronics Eng.,Electronic Devices,Moderate,The beta (β) of a BJT relates:,IC to IB,IC to IE,IB to IE,VCE to VBE,IC to IB,"β (DC current gain) = IC/IB, where IC is collector current and IB is base current. β typically ranges from 20 to 500 for common transistors."
ELEX-048,Electronics Eng.,Logic Circuits,Difficult,What logic family is characterized by the lowest power consumption?,CMOS,TTL,ECL,DTL,CMOS,"CMOS (Complementary MOS) uses complementary pairs of p-type and n-type MOSFETs. In steady state, only one transistor conducts at a time, giving extremely low static power."
ELEX-049,Electronics Eng.,Feedback Systems,Moderate,"In a unity feedback system, the steady-state error for a ramp input in a Type 1 system is:",1/Kv,0,1/Kp,Infinity,1/Kv,"For a Type 1 system with unity feedback, the velocity error constant Kv determines the steady-state error for a ramp input: ess = 1/Kv."
ELEX-050,Electronics Eng.,DC Circuits,Moderate,A Wheatstone bridge is balanced when:,R1/R2 = R3/R4,R1 + R2 = R3 + R4,R1 × R2 = R3 × R4,R1 = R2 = R3 = R4,R1/R2 = R3/R4,"Wheatstone bridge balance condition: R1/R2 = R3/R4 (or R1·R4 = R2·R3). At balance, no current flows through the galvanometer — used to find unknown resistance."
EST-001,EST,Transmission Lines,Difficult,An AM signal has carrier frequency fc = 1 MHz and fm = 5 kHz. What are the sideband frequencies?,995 kHz and 1.005 MHz,990 kHz and 1.01 MHz,1 MHz only,5 kHz and 1 MHz,995 kHz and 1.005 MHz,"AM sidebands: fUSB = fc + fm = 1,000 kHz + 5 kHz = 1,005 kHz = 1.005 MHz; fLSB = fc − fm = 1,000 kHz − 5 kHz = 995 kHz."
EST-002,EST,Data Communications,Moderate,What is the characteristic impedance of a loss-less transmission line?,Z0 = √(L/C),Z0 = √(C/L),Z0 = R + jwL,Z0 = √(LC),Z0 = √(L/C),"For a lossless line (R=0, G=0): Z₀ = √(L/C), where L is inductance per unit length and C is capacitance per unit length."
EST-003,EST,Signal Processing,Difficult,A video streaming app prioritizes low latency over guaranteed delivery. Which protocol is appropriate?,UDP,TCP,HTTP,FTP,UDP,UDP (User Datagram Protocol) is connectionless and provides low-latency transmission without guaranteed delivery. TCP guarantees delivery but adds overhead/latency.
EST-004,EST,Antennas,Difficult,"According to Shannon-Hartley theorem, channel capacity depends on:",Bandwidth and SNR,Frequency and Phase,Amplitude and Wavelength,Modulation index,Bandwidth and SNR,"Shannon-Hartley theorem: C = B·log₂(1 + S/N), where C = channel capacity (bps), B = bandwidth (Hz), S/N = signal-to-noise ratio."
EST-005,EST,AM/FM,Moderate,What is the standard impedance of a dipole antenna in free space?,73 ohms,50 ohms,300 ohms,75 ohms,73 ohms,The theoretical radiation resistance of a half-wave dipole in free space is approximately 73.2 Ω (often rounded to 73 Ω).
EST-006,EST,Transmission Lines,Easy,Which frequency band is typically used for FM radio broadcasting?,VHF,UHF,HF,SHF,VHF,"FM broadcasting uses the VHF (Very High Frequency) band, specifically 88–108 MHz in the Philippines and most of the world."
EST-007,EST,Data Communications,Moderate,"In optical fibers, signal travels through the core via:",Total internal reflection,Refraction,Diffraction,Scattering,Total internal reflection,"Total internal reflection occurs when light traveling in the dense core hits the core-cladding interface at an angle greater than the critical angle, keeping it inside."
EST-008,EST,Signal Processing,Moderate,What does standing wave ratio (SWR) equal to when load is perfectly matched?,1,0,Infinity,0.5,1,"SWR = (1+|Γ|)/(1−|Γ|). When the load is perfectly matched, Γ = 0 (no reflection), so SWR = (1+0)/(1−0) = 1."
EST-009,EST,Antennas,Easy,A rectangular pulse in time domain transforms to what in frequency domain?,Sinc function,Gaussian curve,Impulse,Step function,Sinc function,"By the Fourier Transform duality/convolution property, a rectangular (rect) pulse in time transforms to a sinc function in frequency: sinc(f) = sin(πf)/(πf)."
EST-010,EST,AM/FM,Easy,Which OSI layer is responsible for routing?,Network,Data Link,Transport,Physical,Network,Layer 3 (Network Layer) of the OSI model is responsible for logical addressing (IP) and routing packets between networks using routers.
EST-011,EST,Transmission Lines,Easy,What is the characteristic impedance of a transmission line?,Z₀ = √(L/C),Z₀ = L/C,Z₀ = √(LC),Z₀ = C/L,Z₀ = √(L/C),"The characteristic impedance Z₀ = √(L/C) for a lossless transmission line, where L = inductance/length and C = capacitance/length. It defines voltage-to-current ratio."
EST-012,EST,Data Communications,Difficult,What does OSI stand for in networking?,Open Systems Interconnection,Open Signal Interface,Optical Systems Integration,Output Signal Interpretation,Open Systems Interconnection,OSI = Open Systems Interconnection. The OSI model is a 7-layer conceptual framework standardizing communication functions in a network.
EST-013,EST,Signal Processing,Moderate,The Nyquist sampling theorem states that the sampling rate must be:,At least twice the highest frequency in the signal,Equal to the signal frequency,Half the highest frequency,Four times the signal frequency,At least twice the highest frequency in the signal,"Nyquist Theorem: fs ≥ 2·fmax. Sampling at less than twice the highest frequency causes aliasing (overlap of spectral components), distorting the reconstructed signal."
EST-014,EST,Antennas,Difficult,The radiation resistance of a half-wave dipole antenna is approximately:,73.2 Ω,50 Ω,300 Ω,36.6 Ω,73.2 Ω,The radiation resistance of a half-wave dipole is approximately 73.2 Ω. This value comes from integrating the far-field radiation pattern of the dipole.
EST-015,EST,AM/FM,Easy,"In amplitude modulation (AM), the carrier frequency is:",Unchanged; only the amplitude varies,Changed proportionally to the message,Eliminated in DSB-SC,Always higher than the audio,Unchanged; only the amplitude varies,"In AM, the carrier frequency and phase remain constant. The carrier amplitude varies proportionally to the message signal. The carrier itself carries no information."
EST-016,EST,Transmission Lines,Difficult,A transmission line has a reflection coefficient of 0. This means:,The load is perfectly matched,Total reflection occurs,The line is open-circuited,The line is short-circuited,The load is perfectly matched,"Reflection coefficient Γ = (ZL − Z₀)/(ZL + Z₀). When Γ = 0, ZL = Z₀ — the load impedance equals the line impedance (perfect match, no reflections)."
EST-017,EST,Data Communications,Moderate,Which layer of the OSI model handles routing of packets?,Network layer (Layer 3),Data link layer (Layer 2),Transport layer (Layer 4),Physical layer (Layer 1),Network layer (Layer 3),OSI Layer 3 (Network Layer) handles logical addressing and routing. IP operates at this layer; routers are Layer 3 devices.
EST-018,EST,Signal Processing,Easy,What does the Fourier Transform convert a time-domain signal into?,Frequency-domain representation,Amplitude-domain,Phase-domain only,Z-domain,Frequency-domain representation,"The Fourier Transform F(ω) = ∫ f(t)e^(−jωt) dt decomposes a time-domain signal into its constituent frequencies, showing the signal's spectral content."
EST-019,EST,Antennas,Moderate,Antenna gain is measured relative to:,An isotropic radiator (dBi),A dipole (dBd),Free-space loss,The transmitter power,An isotropic radiator (dBi),Antenna gain is commonly expressed in dBi (decibels relative to an isotropic radiator) — a theoretical antenna that radiates equally in all directions.
EST-020,EST,AM/FM,Easy,What is the modulation index of an AM signal with carrier amplitude 10 V and message amplitude 5 V?,0.5,2,0.25,1,0.5,"AM modulation index: m = Am/Ac = 5/10 = 0.5. For undistorted AM, m ≤ 1. At m = 0.5, the signal is 50% modulated."
EST-021,EST,Transmission Lines,Moderate,Standing waves on a transmission line occur when:,There is an impedance mismatch,The line is perfectly matched,Only forward waves exist,The frequency is zero,There is an impedance mismatch,"When ZL ≠ Z₀, a portion of the incident wave is reflected. The superposition of incident and reflected waves creates a standing wave pattern on the line."
EST-022,EST,Data Communications,Moderate,What is the maximum data rate of a standard Ethernet (IEEE 802.3) connection?,10 Mbps,1 Mbps,100 Mbps,1 Gbps,10 Mbps,"Standard Ethernet (10BASE-T, IEEE 802.3) operates at 10 Mbps. Fast Ethernet = 100 Mbps, Gigabit = 1 Gbps, 10-Gigabit = 10 Gbps."
EST-023,EST,Signal Processing,Easy,An ideal low-pass filter passes frequencies:,Below the cutoff frequency,Above the cutoff frequency,At the cutoff frequency only,At all frequencies equally,Below the cutoff frequency,An ideal LPF has a flat passband for f < fc (cutoff frequency) and completely blocks f > fc. It removes high-frequency noise while preserving low-frequency content.
EST-024,EST,Antennas,Easy,The main lobe of an antenna radiation pattern indicates:,The direction of maximum radiation,The direction of minimum radiation,Side lobe radiation,Back lobe radiation,The direction of maximum radiation,"The main lobe is the primary beam of an antenna's radiation pattern — the direction of maximum radiation (and reception). Side lobes are secondary, weaker beams."
EST-025,EST,AM/FM,Easy,FM has an advantage over AM in that FM:,Is more resistant to noise and interference,Uses less bandwidth,Is simpler to demodulate,Requires less transmitter power,Is more resistant to noise and interference,"FM uses frequency deviation to carry information, making it inherently resistant to amplitude noise. AM is susceptible because noise affects amplitude — the information carrier."
EST-026,EST,Transmission Lines,Difficult,The Voltage Standing Wave Ratio (VSWR) of a perfectly matched line is:,1,0,∞,2,1,VSWR = (1+|Γ|)/(1−|Γ|). Perfect match → Γ = 0 → VSWR = 1. Total reflection (short/open) → |Γ| = 1 → VSWR = ∞.
EST-027,EST,Data Communications,Easy,TCP provides which of the following that UDP does not?,"Reliable, connection-oriented delivery",Faster transmission,Multicast support,Lower overhead,"Reliable, connection-oriented delivery","TCP uses three-way handshake, sequence numbers, acknowledgments, and retransmission to ensure reliable, ordered, error-checked delivery. UDP skips all of this for speed."
EST-028,EST,Signal Processing,Difficult,The z-transform is primarily used to analyze:,Discrete-time signals and systems,Continuous-time systems,Analog filters only,Optical signals,Discrete-time signals and systems,The z-transform converts discrete-time signals to the z-domain (z-plane). It is the discrete-time equivalent of the Laplace transform for continuous-time signals.
EST-029,EST,Antennas,Easy,A yagi-uda antenna is known for being:,Highly directional with high gain,Omnidirectional,Used only for AM broadcasting,A receive-only antenna,Highly directional with high gain,"The Yagi-Uda antenna uses a driven element, reflector, and multiple directors to focus radiation into a narrow, high-gain beam. Common for TV and point-to-point links."
EST-030,EST,AM/FM,Easy,What is the bandwidth of an AM signal with a maximum audio frequency of 5 kHz?,10 kHz,5 kHz,15 kHz,2.5 kHz,10 kHz,"AM bandwidth = 2 × fmax_audio = 2 × 5 kHz = 10 kHz. AM produces two sidebands (USB and LSB), each equal to the maximum audio frequency."
EST-031,EST,Transmission Lines,Difficult,A quarter-wave transformer is used to:,Match impedances between transmission line and load,Amplify signals,Filter frequencies,Generate harmonics,Match impedances between transmission line and load,"A λ/4 transformer with impedance Z_t = √(Z₀·ZL) transforms ZL to Z₀ at the input, achieving impedance matching over a narrow bandwidth."
EST-032,EST,Data Communications,Moderate,The IP address 192.168.1.1 belongs to which class?,Class C,Class A,Class B,Class D,Class C,"Class C IP addresses: first octet 192–223. 192.168.x.x is a private Class C range. Class A: 1–126, Class B: 128–191, Class D: 224–239 (multicast)."
EST-033,EST,Signal Processing,Easy,Aliasing in digital signal processing occurs when:,The sampling rate is too low,The filter order is too high,The signal bandwidth exceeds the system bandwidth,The ADC has insufficient resolution,The sampling rate is too low,"Aliasing occurs when fs < 2·fmax (violating Nyquist). High-frequency components fold back into the lower spectrum, appearing as false low-frequency signals."
EST-034,EST,Antennas,Easy,What is the half-power beamwidth (HPBW) of an antenna?,The angle between points where power drops to half the maximum,The full angle of the main lobe,The angle of the first null,The angle of the back lobe,The angle between points where power drops to half the maximum,HPBW is the angular width of the main lobe measured between the two points where radiated power = half the maximum (−3 dB points). Narrower HPBW = higher directivity.
EST-035,EST,AM/FM,Difficult,Carson's rule approximates the bandwidth of an FM signal as:,BW ≈ 2(Δf + fm),BW ≈ 2Δf,BW ≈ 2fm,BW ≈ Δf + fm,BW ≈ 2(Δf + fm),"Carson's Rule: BW ≈ 2(Δf + fm), where Δf = peak frequency deviation and fm = highest modulating frequency. It captures 98% of total FM signal power."
EST-036,EST,Transmission Lines,Difficult,The propagation constant γ of a transmission line is:,γ = α + jβ,γ = α − jβ,γ = jβ only,γ = α only,γ = α + jβ,"Propagation constant γ = α + jβ, where α = attenuation constant (Np/m) causing signal decay, and β = phase constant (rad/m) causing phase shift."
EST-037,EST,Data Communications,Moderate,What modulation scheme encodes data by varying the frequency of the carrier?,FSK (Frequency Shift Keying),ASK (Amplitude Shift Keying),PSK (Phase Shift Keying),QAM (Quadrature Amplitude Modulation),FSK (Frequency Shift Keying),FSK (Frequency Shift Keying) encodes binary data by shifting the carrier between two frequencies: f₁ for '1' and f₀ for '0'. Robust against amplitude noise.
EST-038,EST,Signal Processing,Moderate,"In an FIR filter, the output depends on:",Current and past inputs only,Past outputs only,Current input and past outputs,Future inputs,Current and past inputs only,FIR (Finite Impulse Response) filters compute output as a weighted sum of current and past inputs only: y[n] = Σ bₖx[n−k]. No feedback → always stable.
EST-039,EST,Antennas,Difficult,An antenna with a gain of 10 dBi radiates 10 W. What is its effective isotropic radiated power (EIRP)?,100 W,10 W,1 W,1000 W,100 W,EIRP = P_tx × G_antenna = 10 W × 10 (10 dBi = 10× linear gain) = 100 W. EIRP represents the equivalent power an isotropic antenna would need.
EST-040,EST,AM/FM,Easy,"In FM, the frequency deviation is proportional to:",The amplitude of the modulating signal,The frequency of the modulating signal,The carrier frequency,The carrier amplitude,The amplitude of the modulating signal,"In FM, the instantaneous frequency fi = fc + kf·m(t), where kf is the frequency sensitivity. Deviation Δf = kf × Am — proportional to modulating signal amplitude."
EST-041,EST,Transmission Lines,Moderate,Distortion on a transmission line is eliminated when the condition __ is met:,R/L = G/C (Heaviside condition),R = G,L = C,α = β,R/L = G/C (Heaviside condition),"Heaviside condition for distortionless transmission: R/L = G/C. Under this condition, all frequencies travel at the same speed and experience equal attenuation."
EST-042,EST,Data Communications,Easy,What is the purpose of a subnet mask?,To identify the network and host portions of an IP address,To encrypt data,To amplify signals,To route packets to the internet,To identify the network and host portions of an IP address,"A subnet mask (e.g., 255.255.255.0) is ANDed with an IP address to separate the network portion from the host portion, used by routers for forwarding decisions."
